,asin,date,Unnamed: 0,sales_rank,rating,ad_cost_eur,item_promotion_discount,forecasted_sales_rank,MAPE
94,3eb3fa7ce4074bd12185bf65297eb391,2021-12-01,32912.0,19469,4.715009380863039,10.026082051282051,0.13333333333333333,72595.33333333333,272.8765387710377
95,3ef8e8a95732d31ce2b438978c73be62,2021-12-01,33240.5,42183,4.684634146341463,1.445692,0.23199999999999998,46143.571428571435,9.389022659771555
96,4041902228b82b6196aa6cd0952b07c3,2020-06-01,33313.5,726129,,0.0,0.0,528523.3999999999,27.21356673538725
97,412709e1471aef59e4cbd3f158588e76,2021-12-01,33802.5,263555,5.0,0.0,0.0,241760.47826086954,8.26943967639789
98,421b249953c6129c656ceb287118618c,2021-12-01,34437.5,79364,3.7999999999999994,2.2800333333333334,0.0,31202.562500000015,60.68423655561713
99,422eb158878c34b6b1d651dfc24238c4,2021-12-01,35438.5,6948,4.1229757085020236,3.3024815789473685,0.6063157894736841,4001.453548555422,42.40855572027314
100,4304e4a43379111b7ad303e507819061,2021-12-01,36523.5,21829,4.2,9.46294705882353,0.325,17882.395219010272,18.07964075766058
101,431ed659a8e812c2341ebd8f7d14c075,2021-12-01,38289.5,5768,4.385586240310078,31.046900000000004,1.1425,27073.21739130435,369.3692335524333
102,435bcd4caf9e604d23d31ad6a6cf5fbb,2021-12-01,39265.0,33937,4.2,1.410158620689655,0.0,23345.449972557133,31.209446997209145
103,4464b67edac24489d9408d632a3836a2,2021-12-01,39551.0,188622,3.8,0.0,0.0,107164.07142857145,43.18580471600797
104,460a45caebe75152ae3284efee1198cf,2020-06-01,39597.0,2426537,,0.0,0.0,1886394.5999999996,22.259804816493645
105,463ba50f8ff1da844096e8cfb167551e,2021-12-01,40098.5,85392,2.9,0.5423470588235295,0.0,53814.666666666686,36.9792642558241
106,467ea010589fd8e9d3723e396bbbdc53,2021-12-01,40225.0,158533,4.4,0.0,0.0,120241.9,24.1533939306012
107,46c0de77332b21ebfcc06a0ac12cb9cd,2020-02-01,40249.5,20122,4.223529411764706,0.0,0.2785714285714286,,
108,46fc16bbc08cdd4bb11bbe52548b646d,2021-12-01,40843.5,44633,5.0,0.4264058823529412,0.4117647058823529,43714.6656562368,2.0575232311590064
109,47781a29360cbcfbca64479886f7bcc9,2021-12-01,41256.5,68200,3.7,0.0,0.0,30761.005096959645,54.89588695460462
110,4789c5d301b8b02fc023548ba1ed2580,2021-12-01,41968.0,19179,3.8,2.1868145454545456,0.16545454545454544,25987.733556617215,35.50098314102516
111,47c392691f0dfd1719a31bc955fac061,2020-05-01,42005.5,1572108,,0.0,0.0,1256300.75,20.088139618906588
113,48018343acecd67b73ef00fbae0265e5,2021-12-01,42613.0,23027,4.3,1.7828222222222223,0.14444444444444443,10545.993990988563,54.20161553398809
114,48a1e905a7f04cc939c9d1821e32ccb0,2021-12-01,43035.0,192050,3.8,0.0,0.0,62016.66666666664,67.70806213659638
115,48fb1d557197273cc56245662b4e8907,2021-05-01,43270.0,143591,4.554545454545455,0.0,0.0,113448.43750000006,20.99195806143835
116,4a1d92a1861545bf856cdbbce408075f,2021-12-01,43763.0,48001,4.024682926829268,0.34572800000000004,0.0,68566.81250000003,42.844550113539356
117,4a59c1760692b51a2d56ee51b9b19356,2021-12-01,43875.5,203915,1.0,0.0,0.0,129943.36363636362,36.275720944332875
118,4a8a078fead16388c5110b2c53c98e93,2021-12-01,44242.0,43069,3.2965998256320836,0.03296774193548387,0.25806451612903225,28856.624999999996,32.99908286702733
119,4ac53da136bffe71fdb0b8d99c8f0afc,2021-02-01,44323.5,3292409,,0.0,0.0,2230722.1999999997,32.24650400360345
