asin,l2_category
c9222af9f11a55b84807c686cdb95f5b,wellness
112675c4d2634444eaa46367ea34d0eb,beauty
46fc16bbc08cdd4bb11bbe52548b646d,beauty
460a45caebe75152ae3284efee1198cf,other
91ca02ff97d1ba75d445cd83cc20d379,other
10a1fa71b2fd409e5ce023100312cf30,other
cefed800c35f3d9fb9af5d27e2763037,entertainment
66db9c734db709475298333ac6191af6,other
83f914d93d16b2638bac0ade1a76d6e7,wellness
782bd289a8fd94bc9fdcd8f5d2d50c1f,garden
15adb609af265e0031e30fedbf80bd8e,wellness
8f58e0a2430817276e3ae9341f2fe3b8,garden
3de0150d4cdabada24e0ae0252aaaadb,house
6363a2fe56335196e09f110634997a2c,pet care
7c6d76fe76b9c338453ab5d34f06a232,garden
907a2dc7f5c4f6a7266ad115a1ac71a5,garden
8f135506b8ddcdf5fe337dafab43f213,wellness
463ba50f8ff1da844096e8cfb167551e,wellness
f4473866b3985ac29a2a03a4f142b83a,wellness
526c5d92cf94dea11622f3394a255c9a,beauty
12068510876b275bd89c9ba0e7bb263f,wellness
cd207cfc8179fc55a14108943876c364,beauty
f9615a26c248daa7f9b42e2636148cce,wellness
5de7ec87614c41c1fafb18c29bb8bceb,beauty
0e293e93b282e3aaa7cf630d02d8b4a9,house
ff80f5b224e60f0ec42872a6311d988c,beauty
fc2ec8db970113f2712092be688302b6,entertainment
b2a3c3c4aa34ab51ce343cc97c1ad3a8,other
3a0b791fb7f1186b4bfc3e1903562a49,garden
3ae7bc3b6b568f6abf9db3b86479b728,beauty
1888dd7de37c03421ffd670db7208c46,house
fd366f08deeee435446593f5d1e31daa,garden
589fb5368328b4637bfe01f805a5f2bd,wellness
4d091a5a118398b9c4ebde2194de740d,wellness
de13519a9874a49aa65b8d27fafd2db4,wellness
919c31ba2d8f4a6e864711c91be64fc8,other
b3338d00c6a087c8b2b58b88a6324c24,wellness
ab09c998b6ed93dcf8272e4aaa60f08b,garden
c77306afe8201a3913c5fb80e40b881a,beauty
70cd4807798e5b1090416e3cbb025932,garden
07b5ac0f48e38d0934665c8841799f59,entertainment
ec61ba400eb9fdecdb6b9193c6719327,wellness
89a42717fe2a47d3ad89a8309fd2f403,pet care
9c38af30258e4ff77d40918e10f54bf0,beauty
d870bdaa99f9260079b167a30018f32d,house
5da1dbeaec6bc684d211a61c153cb275,pet care
b8f22478abebc5ab1179c39f1a409c4c,house
93338ebdc1272e4aff3f3c63910a901c,spirits
4f819727f0fcb538df39ad326fe51cf3,beauty
259639879c8e98a584523de1def104bd,wellness
671ff6d386ff5a5992e669b38a87f301,garden
2f084ad9f4f1ba6349c9e0fb5cfb72b2,pet care
d2fecb0a9b1dc7c6dd97cddba943877e,garden
467ea010589fd8e9d3723e396bbbdc53,entertainment
e125e7cefc0be34c85d3ffc56c816a7e,garden
848978bb84b7094f389904ee1e72cb03,house
ab2037d26cb7c145d4d931d74aab4fb1,pet care
e961eecde92746464d94c8f6a69c6af5,wellness
408083cd75284625ee8014a457aea907,beauty
14de2ad8ea6b5787330d3f305e69dc6c,house
4a7cda1d22fd43f2d74c9e95810afb46,other
4a8a078fead16388c5110b2c53c98e93,spirits
412709e1471aef59e4cbd3f158588e76,beauty
542a9d92909a114889153f964545e928,beauty
ecb0e485f08aafb0bae30723ea1621e2,wellness
d3cbb126a1756ce8abec43b14ecb7e2e,garden
da5af97c8a902df02faa4717ac01f55d,other
2ce07ff43b6a23b4146e6c664d0dcba4,beauty
7b0fb070f40a075bc5d8f0a45894da7a,beauty
9d08e107bab985ffe7888087d5253f30,garden
ad3e11c4b92af5e4e706855ba403360f,pet care
018cd764d4b819f3ab1bbfd3562796f0,entertainment
e6c577cb2e7bf1c802f8c05db61de80c,pet care
84d27ed6f561489002188716f179795a,other
d467104e49448f471e19630f8edcc272,garden
b8699f23f46f5a919b3a6db5c4f669b8,garden
75e6541c6bc7ceda5bdfeddc6da0c397,beauty
34c5eb20befa964908b6e95f6caae8e3,pet care
37d02feb68df4934ebb966598f9d65b8,wellness
ae382add53be9d7012111d09dc923492,beauty
142bd588161717c1981a3216d01bbb56,beauty
f152ff8ac380b55e6bf065da430f055b,house
dd13f351dfe0ad99a40b2fcbf725e19a,beauty
ea76be104c96b6f7baf1b3142827a907,wellness
0c56bea4653a2907b3d7c3329a1b7373,beauty
67956a7b8c29ce952e1a32081ead42c7,beauty
056b97454db692ea7fd5e59768690e0a,wellness
578d564cc85de2c329194a6073404994,garden
60d9aeb476bc39f12dd990855337ca3b,beauty
7cb563e4cf49a82f5d7e109d7ebbba40,garden
6a9eba4005689b16622c613840101f77,garden
48fb1d557197273cc56245662b4e8907,house
a497dbe39310cd3dbe66f3c04e908981,garden
a4632b920a633115d82926782dbf63c7,beauty
4464b67edac24489d9408d632a3836a2,beauty
76259044efa6ce27f4050202d2de062a,beauty
04974892c8437b0bf144b6fcb3a144d1,wellness
c4d09ed705397ac82912ca4a16f04140,pet care
2584eec728082e6571be25966839524c,garden
678532b18cb152928a2c7768f16c3a96,house
6f9fa870a4dfed0af55433a400005496,garden
bcd48b5cff34e0602e1e0ab9f4c51a41,other
7dd3cc502086efdd5be79f3288446576,wellness
6354a1006da50f5f3785039312a97267,garden
2dbd99532212cd6c4dec31cf2d6228bd,wellness
664f944932acf7670b76efd443b2e842,pet care
79e77759f48cb5301311e42d2ee955a1,beauty
d3c7a0c7af2f019cd9794000e523e040,garden
4a1d92a1861545bf856cdbbce408075f,garden
046337d6ee315bcc9ae6d7a7f2d49ee6,entertainment
b6a9c82a26d501a877b2a1e4e43b9e9f,pet care
af5f7444bedd2c683b2b6c6763d0aeb1,other
a6568f7ba12d4b6c0e4ff45a003b19c8,beauty
e94e1e030eec9fb69b851cd80070464d,entertainment
c9fd2a98d132d91387cdfffb5a1aac6a,wellness
fc85f57f4166a75a74123ea52704ef29,pet care
87dfb078246f507460e0cec3e2bdb2ca,wellness
39731029ceebfd9e93f0177144c6b115,wellness
d13808618cb0524de9d394183dd3bd31,wellness
cc735ee1423e62c6cd1f255274970d65,entertainment
436f0af195e4d4d6e6887c6fb1e4d398,entertainment
0245e67a746d2bf134c15331fe42c109,garden
50ab794ae55cd0cd9b4bffd691e25218,wellness
dde61536d08c9734b4553afbc6d47f9a,beauty
9ebb7e30e606c6a220ed0e6401c92286,beauty
553a6074d8d2adc53cc4212774499a7a,entertainment
be4ffe7deaa6e56f4fb1a099eaffdcbd,wellness
0f5224be38ce7df467e5ec51ae73c0fc,garden
4fbc687932872a4829a68c17374bd4cf,beauty
9ab6eebe93b360b77110eee977e028ad,beauty
59c6e17754641bb617837b5d30b21617,pet care
7bbb7e78522aa5e9c8b44970be3ecda8,wellness
a56017c60a15d7e26de5761bd7803f35,wellness
f752f934a64a8cdcf33e77453d60ae78,garden
acdfcce0b702d54be5310bb920497fbd,entertainment
5bded5d295096f4d2defd84ae85eec4c,garden
a749f4b15c3e7d43a2e49b39d846b1a4,beauty
814e53eda1d74a1c54625df3119faf76,other
c08f42db968dcd891d9ce20aadc1dafd,pet care
0511e00e94db476eb123d4238569e724,wellness
13f6d586f2a69ff0a9b92ed71038b5e2,garden
cbb745144d03c48caa9ebe457a6dc8f6,pet care
efe7d171aad31581e61749f742b86800,pet care
66bb4e2369627463fdb11751b8c21fab,beauty
f6301de5ec31ce0a5657ccd4dcd63587,house
3c1d473b51eeef11cc43f11fda5169d7,pet care
f13b949d1a7962b2f84fa72a6de38589,house
36d60a402da9bc13c92b878e4789bcf3,wellness
bb6a39df3bfbd140506e7aee2d75c842,beauty
639ab0178338c03d5b1def8f780b82d2,house
c5201e58daea92b32dde96c333420704,pet care
bf21ebe9e95d378d06aba1d8204d66db,pet care
